journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9136,2023-03-31
a + u-architecture and urbanism,aupublishing,19658,2023-03-31
aaps pharmscitech,pharmscitech,335,2023-03-31
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1696,2023-03-31
abdominal radiology,Abdominal_Rad,2300,2023-03-31
academic emergency medicine,AcademicEmerMed,7221,2023-03-31
academic medicine,AcadMedJournal,20641,2023-03-31
academic radiology,AcadRadiol,3763,2023-03-31
acadiensis,Acadiensis,928,2023-03-31
acarologia,AcarologiaHome,160,2023-03-31
accounting and business research,AccBusRes,1013,2023-03-31
accounting and finance,AF_AFAANZ,1798,2023-03-31
accounting auditing & accountability journal,AAAJEmerald,1263,2023-03-31
accounting forum,TandF_AccForum,677,2023-03-31
acm transactions on computer-human interaction,acmtochi,4928,2023-03-31
acm transactions on information systems,acmtois,643,2023-03-31
acm transactions on intelligent systems and technology,ACMTIST,41,2023-03-31
acm transactions on reconfigurable technology and systems,ACM_TRETS,92,2023-03-31
acm transactions on the web,TWebACM,193,2023-03-31
acs applied energy materials,ACS_AEM,1839,2023-03-31
acs applied nano materials,ACS_ANM,1979,2023-03-31
acs biomaterials science & engineering,ACSBiomaterials,3751,2023-03-31
acs catalysis,ACSCatalysis,29155,2023-03-31
acs central science,ACSCentSci,22577,2023-03-31
acs chemical neuroscience,ACSChemNeurosci,3932,2023-03-31
acs earth and space chemistry,ACSEarthSpace,1032,2023-03-31
acs infectious diseases,ACS_Infectious,3167,2023-03-31
acs macro letters,ACSMacroLett,4471,2023-03-31
acs materials letters,ACSMatLett,2536,2023-03-31
acs nano,acsnano,39732,2023-03-31
acs omega,ACS_Omega,4100,2023-03-31
acs photonics,ACSPhotonics,6223,2023-03-31
acs sensors,ACS_Sensors,3716,2023-03-31
acs sustainable chemistry & engineering,ACSSustainable,3528,2023-03-31
acs synthetic biology,ACSSynBio,9372,2023-03-31
acta acustica,ActaAcustica,86,2023-03-31
acta biologica colombiana,RevistaABC,1895,2023-03-31
acta biomaterialia,ActaBio,5325,2023-03-31
acta botanica brasilica,abbrasilica,186,2023-03-31
acta botanica croatica,ActaBotCro,92,2023-03-31
acta botanica mexicana,ActaBotMex,1086,2023-03-31
acta chiropterologica,ActaChiroptero1,3,2023-03-31
acta cirurgica brasileira,ActaCirurgicaBR,40,2023-03-31
acta clinica belgica,ActaClinica,4,2023-03-31
acta crystallographica a-foundation and advances,ActaCrystA,891,2023-03-31
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1133,2023-03-31
acta crystallographica section c-structural chemistry,ActaCrystC,1764,2023-03-31
acta crystallographica section d-structural biology,ActaCrystD,2189,2023-03-31
acta crystallographica section f-structural biology communications,ActaCrystF,1278,2023-03-31
acta entomologica musei nationalis pragae,ActaEntomol,448,2023-03-31
acta geophysica,AGeophysica,27,2023-03-31
acta materialia,Acta_Materialia,3339,2023-03-31
acta medica portuguesa,ActaMedPort,921,2023-03-31
acta neurochirurgica,ActaNeuro,3348,2023-03-31
acta neuropsychiatrica,scnpjournal,64,2023-03-31
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1524,2023-03-31
acta oncologica,actaoncol,197,2023-03-31
acta ophthalmologica,ActaOphthalmol,12,2023-03-31
acta ornithologica,actaorn,507,2023-03-31
acta orthopaedica,ActaOrt,125,2023-03-31
acta otorhinolaryngologica italica,actaitalica,9,2023-03-31
acta paediatrica,ActaPaediatrica,2076,2023-03-31
acta paulista de enfermagem,ActaPaulEnferm,501,2023-03-31
acta pharmaceutica sinica b,ActaPharmSinB,1379,2023-03-31
acta physiologica,ActaPhysiol,111,2023-03-31
acta politica,ActaPolitica,642,2023-03-31
acta psychiatrica scandinavica,ActaPsychScand,1488,2023-03-31
acta societatis botanicorum poloniae,actasocbotpol,19,2023-03-31
acta sociologica,ActaSocJournal,920,2023-03-31
actas urologicas espanolas,actasurologicas,3861,2023-03-31
actuators,Actuators_MDPI,249,2023-03-31
addiction,AddictionJrnl,15186,2023-03-31
addiction research & theory,AddictResTheory,1882,2023-03-31
additive manufacturing,AdditiveJournal,209,2023-03-31
administrative law review,AdLawReview,947,2023-03-31
administrative science quarterly,ASQJournal,7916,2023-03-31
adult education quarterly,AEQjournal,769,2023-03-31
advanced biology,Adv_Biology,639,2023-03-31
advanced drug delivery reviews,ADDReditors,2072,2023-03-31
advanced synthesis & catalysis,AdvSynthCatal,4440,2023-03-31
advances in archaeological practice,aap_saaorg,2179,2023-03-31
advances in atmospheric sciences,AASjournal,770,2023-03-31
advances in clinical and experimental medicine,in_clinical,8,2023-03-31
advances in cognitive psychology,AdvCognPsychol,225,2023-03-31
advances in health sciences education,advhlthsciedu,479,2023-03-31
advances in neonatal care,ANCjournal,403,2023-03-31
advances in nursing science,ANSJournal,419,2023-03-31
advances in physiology education,AdvPhysiolEduc,546,2023-03-31
advances in skin & wound care,aswcjournal,5257,2023-03-31
advances in therapy,AdvancesTherapy,1227,2023-03-31
advances in weed science,AdvancesWeedSci,736,2023-03-31
aera open,AeraOpen,1443,2023-03-31
aeronautical journal,JournalAero,40,2023-03-31
aerosol and air quality research,AAQR2001,34,2023-03-31
aerosol science and technology,ASTJournal,413,2023-03-31
aerospace,Aerospace_MDPI,441,2023-03-31
aerospace america,AeroAmMag,1582,2023-03-31
aesthetic plastic surgery,aps_journal,1043,2023-03-31
aesthetic surgery journal,ASJrnl,11525,2023-03-31
affilia-journal of women and social work,AffiliaJournal,773,2023-03-31
africa,AfricaIai,6820,2023-03-31
africa spectrum,AfricaSpectrum,376,2023-03-31
african affairs,AfrAfJournal,13062,2023-03-31
african economic history,AfricanEconHist,1873,2023-03-31
african invertebrates,AI_Journal,319,2023-03-31
african journal of emergency medicine,AfJEM,4072,2023-03-31
african journal of reproductive health,AJRHJOURNAL,110,2023-03-31
african journalism studies,AfrJournStud,572,2023-03-31
african studies,afrikanstudies,2196,2023-03-31
african studies review,ASRJournal,4187,2023-03-31
afterall,AfterallJournal,11845,2023-03-31
age and ageing,Age_and_Ageing,22181,2023-03-31
ageing & society,Ageing_Society,4203,2023-03-31
agenda,agendapoetry,905,2023-03-31
aging-us,AgingJrnl,2845,2023-03-31
aging & mental health,AgingMH,290,2023-03-31
aging cell,AgingCell,3619,2023-03-31
agricultural and forest entomology,AFEntomology,1634,2023-03-31
agricultural and forest meteorology,agformet,748,2023-03-31
agriculture-basel,AgricultureMdpi,1346,2023-03-31
agronomy-basel,Agronomy_Mdpi,2437,2023-03-31
agronomy for sustainable development,ASD_INRAE,815,2023-03-31
agronomy journal,AgronomyJournal,3098,2023-03-31
ai communications,AI_Comms,64,2023-03-31
aids,AIDS_Journal,2346,2023-03-31
aids and behavior,AIDSandBehavior,582,2023-03-31
alcohol,JournalAlcohol,954,2023-03-31
allergologia et immunopathologia,alletimm,8,2023-03-31
alpha psychiatry,AlphaPsychiatry,2774,2023-03-31
alzheimers research & therapy,AlzheimersRes,2252,2023-03-31
ambio,Ambio_Journal,256,2023-03-31
american anthropologist,AmAnthroJournal,6716,2023-03-31
american behavioral scientist,ABSjournal,194,2023-03-31
american biology teacher,ameghiniana,1037,2023-03-31
american book review,Amerbookreview,230,2023-03-31
american business law journal,the_ablj,272,2023-03-31
american criminal law review,AmCrimLRev,1924,2023-03-31
american educational research journal,aerj_journal,854,2023-03-31
american ethnologist,AmEthno,21008,2023-03-31
american family physician,AFPJournal,14774,2023-03-31
american heart journal,AmericanHeartJ,9801,2023-03-31
american historical review,AmHistReview,7818,2023-03-31
american journal of agricultural economics,AJAE_AAEA,6519,2023-03-31
american journal of bioethics,bioethics_net,12231,2023-03-31
american journal of clinical nutrition,AJCNutrition,6839,2023-03-31
american journal of clinical pathology,AJCPjournal,3319,2023-03-31
american journal of community psychology,A_J_Comm_Psych,953,2023-03-31
american journal of criminal justice,AJCJ_UNF,1,2023-03-31
american journal of critical care,ajccme,5777,2023-03-31
american journal of cultural sociology,CulturalSociol,1784,2023-03-31
american journal of drug and alcohol abuse,AJDAAJournal,1995,2023-03-31
american journal of epidemiology,AmJEpi,17774,2023-03-31
american journal of forensic medicine and pathology,amjforensicmed,806,2023-03-31
american journal of gastroenterology,AmJGastro,7668,2023-03-31
american journal of geriatric psychiatry,AmJGeriPsych,830,2023-03-31
american journal of health economics,AJHE_journal,1502,2023-03-31
american journal of human genetics,AJHGNews,9475,2023-03-31
american journal of hypertension,amjhypertension,560,2023-03-31
american journal of infection control,AJICJournal,7287,2023-03-31
american journal of international law,AJIL_andUnbound,8495,2023-03-31
american journal of kidney diseases,AJKDonline,35422,2023-03-31
american journal of managed care,AJMC_Journal,7321,2023-03-31
american journal of medical quality,AjmQonline,129,2023-03-31
american journal of medicine,amjmed,1665,2023-03-31
american journal of neuroradiology,TheAJNR,17720,2023-03-31
american journal of nursing,AmJNurs,55820,2023-03-31
american journal of obstetrics and gynecology,AJOG_thegray,24908,2023-03-31
american journal of ophthalmology,AJOphthalmology,8011,2023-03-31
american journal of otolaryngology,AmJOtol,555,2023-03-31
american journal of pathology,AJPathology,5451,2023-03-31
american journal of perinatology,AmJPerinatology,6370,2023-03-31
american journal of physics,JournalPhysics,1119,2023-03-31
american journal of physiology-endocrinology and metabolism,AJPEndoMetab,2336,2023-03-31
american journal of physiology-heart and circulatory physiology,ajpheartcirc,5547,2023-03-31
american journal of physiology-regulatory integrative and comparative physiology,AJPRegu,978,2023-03-31
american journal of physiology-renal physiology,AJPRenalEIC,1576,2023-03-31
american journal of political science,AJPS_Editor,18360,2023-03-31
american journal of preventive medicine,AmJPrevMed,3938,2023-03-31
american journal of primatology,AmJournalPrimat,3784,2023-03-31
american journal of psychiatry,AJP_ResJournal,2131,2023-03-31
american journal of public health,AMJPublicHealth,13537,2023-03-31
american journal of respiratory and critical care medicine,ATSBlueEditor,17313,2023-03-31
american journal of respiratory cell and molecular biology,AJRCMB,4830,2023-03-31
american journal of roentgenology,AJR_Radiology,7815,2023-03-31
american journal of sports medicine,AJSM_SportsMed,42198,2023-03-31
american journal of surgery,AmJSurgery,17956,2023-03-31
american journal of the medical sciences,AmJMedSci,291,2023-03-31
american journal of transplantation,amjtransplant,9668,2023-03-31
american journal of tropical medicine and hygiene,AJTMH,2646,2023-03-31
american laboratory,AmericanLab,7201,2023-03-31
american literary history,AmLitHist,2149,2023-03-31
american literature,amlitjournal,1578,2023-03-31
american naturalist,ASNAmNat,19496,2023-03-31
american nineteenth century history,ANCHjournal,630,2023-03-31
american poetry review,AmPoetryReview,15195,2023-03-31
american political science review,apsrjournal,16396,2023-03-31
american politics research,apr_journal,279,2023-03-31
american scholar,TheAmScho,15491,2023-03-31
american scientist,AmSciMag,32462,2023-03-31
american sociological review,ASR_Journal,10219,2023-03-31
americas,TAMquarterly,2770,2023-03-31
amfiteatru economic,AmfiteatruEc,5,2023-03-31
amphibian & reptile conservation,AR_Conservation,2415,2023-03-31
anaesthesia,Anaes_Journal,39460,2023-03-31
anaesthesia and intensive care,AICjournal,778,2023-03-31
anaesthesia critical care & pain medicine,AccpmJ,1968,2023-03-31
anais brasileiros de dermatologia,AnBrasDermatol,22,2023-03-31
anais da academia brasileira de ciencias,aabcjournal,284,2023-03-31
anales de psicologia,analesps,61,2023-03-31
analytical and bioanalytical chemistry,AnalBioanalChem,2209,2023-03-31
analytical chemistry,an_chem,11246,2023-03-31
analytical methods,MethodsRSC,3709,2023-03-31
anatomical record-advances in integrative anatomy and evolutionary biology,AnatRecord,1732,2023-03-31
anatomical sciences education,AnatSciEduc,2231,2023-03-31
ancient mesoamerica,AMesoamerica,959,2023-03-31
anesthesia and analgesia,IARS_Journals,15572,2023-03-31
anesthesiology,_Anesthesiology,29390,2023-03-31
angelaki-journal of the theoretical humanities,AngelakiH,257,2023-03-31
angewandte chemie-international edition,angew_chem,88198,2023-03-31
animal,journal_animal,1265,2023-03-31
animal conservation,AnimalConserv,8595,2023-03-31
animal reproduction,AnimalReproduc1,387,2023-03-31
animals,Animals_MDPI,3063,2023-03-31
annales botanici fennici,annbotfenn,54,2023-03-31
annales de dermatologie et de venereologie,AnnDermato,230,2023-03-31
annales de pathologie,Annpathol,1367,2023-03-31
annales geophysicae,EGU_AnGeophys,46,2023-03-31
annales historiques de la revolution francaise,AhrfRevue,1595,2023-03-31
annales zoologici fennici,annzoolfenn,40,2023-03-31
annals of allergy asthma & immunology,AnnalsAllergy,1283,2023-03-31
annals of applied biology,Annapplbiol,605,2023-03-31
annals of botany,annbot,3769,2023-03-31
annals of clinical biochemistry,AnnClinBiochem,898,2023-03-31
annals of epidemiology,AnnalsOfEpi,139,2023-03-31
annals of family medicine,AnnFamMed,8261,2023-03-31
annals of forest science,AnnForSci,659,2023-03-31
annals of global health,AOGH_journal,127,2023-03-31
annals of hepatology,AnnalsofHepatol,1136,2023-03-31
annals of human genetics,AHGEditor,117,2023-03-31
annals of intensive care,of_aic,2139,2023-03-31
annals of internal medicine,AnnalsofIM,63494,2023-03-31
annals of laboratory medicine,AnnLabMed,1525,2023-03-31
annals of oncology,Annals_Oncology,42570,2023-03-31
annals of pharmacotherapy,AnnalsofPharm,500,2023-03-31
annals of plastic surgery,AnnalsPlastic,185,2023-03-31
annals of saudi medicine,annsaudimed,1406,2023-03-31
annals of science,AnnalsOfScience,4271,2023-03-31
annals of surgery,AnnalsofSurgery,54109,2023-03-31
annals of the american thoracic society,AnnalsATS,10616,2023-03-31
annals of thoracic and cardiovascular surgery,ATCS_journal,621,2023-03-31
annals of thoracic surgery,annalsthorsurg,9107,2023-03-31
annals of vascular surgery,avsgjournal,2272,2023-03-31
antarctic science,Ant_Sci_Ltd,742,2023-03-31
anthropocene review,AnthropoceneRev,2811,2023-03-31
anthropological quarterly,AnthQuarterly,1021,2023-03-31
anthropological theory,Anthro_Theory,3485,2023-03-31
anthropology & education quarterly,AnthropologyEd4,461,2023-03-31
anthropology & medicine,AnthMedJournal,1996,2023-03-31
anthropology southern africa,ASnA_Editors,499,2023-03-31
anthrozoos,AnthrozoosJ,1354,2023-03-31
anti-cancer drugs,Anti_CancerDrug,145,2023-03-31
antibiotics-basel,antibioticsmdpi,1809,2023-03-31
antigonish review,TheAntigonish,1357,2023-03-31
antimicrobial resistance and infection control,ARICJournal,2364,2023-03-31
antipode,antipodeonline,25797,2023-03-31
antiquity,AntiquityJ,35350,2023-03-31
anuario calderoniano,acal_unav,343,2023-03-31
anuario de historia de la iglesia,ahig_unav,98,2023-03-31
anuario de psicologia juridica,AnPsiJuridica,2045,2023-03-31
aob plants,AoBPLANTS,1,2023-03-31
aorn journal,AORNJournal,3480,2023-03-31
aperture,aperturefnd,238183,2023-03-31
apl photonics,aplphotonics,1978,2023-03-31
apmis,APMISJournal,991,2023-03-31
apollo-the international art magazine,Apollo_magazine,32541,2023-03-31
