journal_title,issn,e_issn,twitter,ahci,ssci,scie,has_twitter,wos_scie,wos_ssci,wos_ahci,publisher_name,account_created_date
20 et 21-revue d histoire,2649-664X,2649-6100,NA,1,0,0,0,NA,NA,History,PRESSES SCIENCES PO,NA
2d materials,2053-1583,2053-1583,NA,0,0,1,0,"Materials Science, Multidisciplinary",NA,NA,IOP PUBLISHING LTD,NA
3 biotech,2190-572X,2190-5738,NA,0,0,1,0,Biotechnology & Applied Microbiology,NA,NA,SPRINGER HEIDELBERG,NA
3d printing and additive manufacturing,2329-7662,2329-7670,3DPrintingJrnl,0,0,1,1,"Engineering, Manufacturing | Materials Science, Multidisciplinary",NA,NA,"MARY ANN LIEBERT, INC",6/28/2013
4or-a quarterly journal of operations research,1619-4500,1614-2411,NA,0,0,1,0,Operations Research & Management Science,NA,NA,SPRINGER HEIDELBERG,NA
a + u-architecture and urbanism,0389-9160,NA,aupublishing,1,0,0,1,NA,NA,Architecture,A & U PUBL CO LTD,1/17/2011
aaa-arbeiten aus anglistik und amerikanistik,0171-5410,NA,NA,1,0,0,0,NA,NA,Literature | Language & Linguistics,GUNTER NARR VERLAG,NA
aapg bulletin,0149-1423,1558-9153,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,AMER ASSOC PETROLEUM GEOLOGIST,NA
aaps journal,1550-7416,1550-7416,NA,0,0,1,0,Pharmacology & Pharmacy,NA,NA,SPRINGER,NA
aaps pharmscitech,1530-9932,1530-9932,pharmscitech,0,0,1,1,Pharmacology & Pharmacy,NA,NA,SPRINGER,1/14/2019
aatcc journal of research,2330-5517,2330-5517,NA,0,0,1,0,"Materials Science, Textiles",NA,NA,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,NA
aatcc review,1532-8813,1532-8813,NA,0,0,1,0,"Chemistry, Applied | Engineering, Chemical | Materials Science, Textiles",NA,NA,AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC,NA
ab imperio-studies of new imperial history and nationalism in the post-soviet space,2166-4072,2164-9731,abimperio,1,0,0,1,NA,NA,History,AB IMPERIO INC,5/2/2011
abacus-a journal of accounting finance and business studies,0001-3072,1467-6281,NA,0,1,0,0,NA,"Business, Finance",NA,WILEY,NA
abdominal radiology,2366-004X,2366-0058,Abdominal_Rad,0,0,1,1,"Radiology, Nuclear Medicine & Medical Imaging",NA,NA,SPRINGER,6/11/2021
abhandlungen aus dem mathematischen seminar der universitat hamburg,0025-5858,1865-8784,NA,0,0,1,0,Mathematics,NA,NA,SPRINGER HEIDELBERG,NA
abstracts of papers of the american chemical society,0065-7727,NA,NA,0,0,1,0,"Chemistry, Multidisciplinary",NA,NA,AMER CHEMICAL SOC,NA
academia-revista latinoamericana de administracion,1012-8255,2056-5127,NA,0,1,0,0,NA,Business | Management,NA,EMERALD GROUP PUBLISHING LTD,NA
academic emergency medicine,1069-6563,1553-2712,AcademicEmerMed,0,0,1,1,Emergency Medicine,NA,NA,WILEY,6/20/2014
academic medicine,1040-2446,1938-808X,AcadMedJournal,0,0,1,1,"Education, Scientific Disciplines | Health Care Sciences & Services",NA,NA,LIPPINCOTT WILLIAMS & WILKINS,3/7/2013
academic pediatrics,1876-2859,1876-2867,NA,0,0,1,0,Pediatrics,NA,NA,ELSEVIER SCIENCE INC,NA
academic psychiatry,1042-9670,1545-7230,NA,0,1,0,0,NA,Education & Educational Research | Psychiatry,NA,SPRINGER,NA
academic radiology,1076-6332,1878-4046,AcadRadiol,0,0,1,1,"Radiology, Nuclear Medicine & Medical Imaging",NA,NA,ELSEVIER SCIENCE INC,8/16/2020
academy of management annals,1941-6520,1941-6067,NA,0,1,0,0,NA,Business | Management,NA,ACAD MANAGEMENT,NA
academy of management discoveries,2168-1007,2168-1007,NA,0,1,0,0,NA,Management,NA,ACAD MANAGEMENT,NA
academy of management journal,0001-4273,1948-0989,NA,0,1,0,0,NA,Business | Management,NA,ACAD MANAGEMENT,NA
academy of management learning & education,1537-260X,1944-9585,NA,0,1,0,0,NA,Education & Educational Research | Management,NA,ACAD MANAGEMENT,NA
academy of management perspectives,1558-9080,1943-4529,NA,0,1,0,0,NA,Business | Management,NA,ACAD MANAGEMENT,NA
academy of management review,0363-7425,1930-3807,NA,0,1,0,0,NA,Business | Management,NA,ACAD MANAGEMENT,NA
acadiensis,0044-5851,1712-7432,Acadiensis,1,0,0,1,NA,NA,History,UNIV NEW BRUNSWICK,9/23/2011
acarologia,0044-586X,2107-7207,AcarologiaHome,0,0,1,1,Entomology,NA,NA,ACAROLOGIA-UNIVERSITE PAUL VALERY,1/26/2017
accident analysis and prevention,0001-4575,1879-2057,NA,0,1,0,0,NA,"Ergonomics | Public, Environmental & Occupational Health | Social Sciences, Interdisciplinary | Transportation",NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
accountability in research-policies and quality assurance,0898-9621,1545-5815,NA,0,0,1,0,Medical Ethics,NA,NA,TAYLOR & FRANCIS INC,NA
accounting and business research,0001-4788,2159-4260,AccBusRes,0,1,0,1,NA,"Business, Finance",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2/10/2019
accounting and finance,0810-5391,1467-629X,AF_AFAANZ,0,1,0,1,NA,"Business, Finance",NA,WILEY,7/8/2015
accounting auditing & accountability journal,0951-3574,1758-4205,AAAJEmerald,0,1,0,1,NA,"Business, Finance",NA,EMERALD GROUP PUBLISHING LTD,8/25/2020
accounting forum,0155-9982,1467-6303,TandF_AccForum,0,1,0,1,NA,"Business, Finance",NA,TAYLOR & FRANCIS LTD,5/4/2018
accounting horizons,0888-7993,1558-7975,NA,0,1,0,0,NA,"Business, Finance",NA,AMER ACCOUNTING ASSOC,NA
accounting organizations and society,0361-3682,1873-6289,NA,0,1,0,0,NA,"Business, Finance",NA,PERGAMON-ELSEVIER SCIENCE LTD,NA
